condition,training_seed,episode_index,evaluation_seed,episode_length,episode_return,native_cost_total,gold_stl_cost_total,goal_events,goal_success,minimum_distance,trigger_count,recovery_count,late_recovery_count,deadline_violation_count,terminal_unresolved_count,on_time_recovery_latency_sum,deadline_violation_delay_sum,terminal_unresolved_delay_sum,positive_cost_step_count,completed_window_count,trace_robustness,online_oracle_agreement,rtamt_max_robustness_difference
task_only,2202,8,10008,1000,16.827029074429447,117.0,3,6,True,0.008731484413146973,6,3,3,3,0,121,237,0,3,5,-0.10856972932815556,True,0.0
task_only,2202,9,10009,1000,24.195245765899017,107.0,1,12,True,0.05355978012084961,9,8,0,0,1,420,0,18,1,8,0.049851727485656694,True,0.0
task_only,2202,10,10010,1000,17.58189256241303,58.0,2,9,True,0.020265698432922363,6,4,1,1,1,208,79,59,2,5,-0.10107688903808598,True,0.0
task_only,2202,11,10011,1000,18.730716581548222,58.0,1,9,True,0.06643563508987427,6,5,1,1,0,254,79,0,1,6,-0.044779825210571333,True,0.0
task_only,2202,12,10012,1000,18.854097723404266,59.0,2,9,True,0.020183801651000977,7,5,1,1,1,215,79,6,2,6,-0.10151444673538212,True,0.0
task_only,2202,13,10013,1000,21.91746019695347,113.0,3,10,True,0.01826155185699463,7,4,2,2,1,150,158,48,3,6,-0.10402016639709477,True,0.0
task_only,2202,14,10014,1000,19.605206814998382,91.0,1,7,True,0.049066007137298584,8,7,0,0,1,401,0,24,1,7,0.033334326744079545,True,0.0
task_only,2202,15,10015,1000,20.105642997225004,37.0,2,10,True,0.12603914737701416,5,3,2,2,0,108,158,0,2,5,-0.09274183511734013,True,0.0
task_only,2202,16,10016,1000,17.97226023305484,82.0,2,8,True,0.014331221580505371,8,6,2,2,0,283,158,0,2,8,-0.058467853069305464,True,0.0
task_only,2202,17,10017,1000,19.41469820772727,67.0,4,8,True,0.11519569158554077,5,1,3,4,0,70,316,0,4,5,-0.11059569120407109,True,0.0
task_only,2202,18,10018,1000,17.57435574342162,31.0,1,8,True,0.07972079515457153,6,5,1,1,0,209,79,0,1,6,-0.02373503446578984,True,0.0
task_only,2202,19,10019,1000,21.911546963014644,117.0,2,12,True,0.018679440021514893,7,5,1,1,1,328,79,73,2,6,-0.11149315834045415,True,0.0
task_only,2202,20,10020,1000,18.506333616831853,117.0,3,9,True,0.025455951690673828,6,3,2,2,1,151,158,21,3,5,-0.11165516376495366,True,0.0
task_only,2202,21,10021,1000,14.05043795043457,59.0,5,5,True,0.013435721397399902,7,2,4,4,1,91,316,27,5,6,-0.08829222917556767,True,0.0
task_only,2202,22,10022,1000,18.265437575789974,176.0,4,8,True,0.03974372148513794,7,3,3,3,1,170,237,33,4,6,-0.10083262920379643,True,0.0
task_only,2202,23,10023,1000,21.1928516979915,39.0,0,11,True,0.05817890167236328,4,4,0,0,0,225,0,0,0,4,0.046043348312377885,True,0.0
task_only,2202,24,10024,1000,20.97356036963174,54.0,2,10,True,0.08196312189102173,3,1,2,2,0,53,158,0,2,3,-0.10488419532775883,True,0.0
task_only,2202,25,10025,1000,18.93507531027717,55.0,2,9,True,0.004807591438293457,7,5,1,1,1,233,79,7,2,6,-0.059719192981720015,True,0.0
task_only,2202,26,10026,1000,20.485448388481018,170.0,4,10,True,0.02084594964981079,8,4,3,4,0,203,316,0,4,8,-0.11051111221313481,True,0.0
task_only,2202,27,10027,1000,19.025083322243518,58.0,3,8,True,0.035261571407318115,7,4,2,2,1,189,158,63,3,6,-0.03569858074188237,True,0.0
task_only,2202,28,10028,1000,19.262993229190215,161.0,3,8,True,0.019876956939697266,6,3,2,3,0,157,237,0,3,6,-0.10095279216766362,True,0.0
task_only,2202,29,10029,1000,19.234149608087137,28.0,1,9,True,0.13008981943130493,8,7,0,0,1,349,0,24,1,7,0.03931082487106319,True,0.0
task_only,2202,30,10030,1000,19.058280936378196,81.0,3,9,True,0.036665260791778564,5,2,3,3,0,100,237,0,3,5,-0.11689226627349858,True,0.0
task_only,2202,31,10031,1000,18.71948369070242,121.0,5,9,True,0.010213851928710938,6,1,4,4,1,76,316,76,5,5,-0.10498719215393071,True,0.0
task_only,2202,32,10032,1000,17.017041857496224,88.0,2,8,True,0.044782161712646484,10,8,1,1,1,271,79,33,2,9,-0.10645614862442021,True,0.0
task_only,2202,33,10033,1000,21.150210204119503,10.0,3,12,True,0.16794097423553467,6,3,3,3,0,121,237,0,3,6,-0.08475099802017216,True,0.0
task_only,2202,34,10034,1000,19.946263527041083,90.0,3,10,True,0.011014044284820557,7,4,2,2,1,185,158,30,3,6,-0.044070291519165083,True,0.0
task_only,2202,35,10035,1000,18.660004097757337,114.0,3,8,True,0.014202296733856201,6,3,3,3,0,114,237,0,3,6,-0.10609154701232915,True,0.0
task_only,2202,36,10036,1000,19.955272061080905,19.0,0,9,True,0.021573185920715332,7,7,0,0,0,271,0,0,0,6,0.03576405048370357,True,0.0
task_only,2202,37,10037,1000,19.44808658207694,48.0,1,9,True,0.09173440933227539,8,7,1,1,0,370,79,0,1,8,-0.10163782835006718,True,0.0
task_only,2202,38,10038,1000,19.96984996581523,40.0,1,10,True,0.07884156703948975,3,2,1,1,0,96,79,0,1,3,-0.12257461547851567,True,0.0
task_only,2202,39,10039,1000,16.328614944422043,96.0,2,6,True,0.021607697010040283,6,4,1,1,1,247,79,43,2,5,-0.10281639099121098,True,0.0
task_only,2202,40,10040,1000,17.733625870920207,80.0,3,9,True,0.040272653102874756,5,2,2,2,1,115,158,11,3,4,-0.11004923582077031,True,0.0
task_only,2202,41,10041,1000,19.497230852102803,68.0,1,8,True,0.025628864765167236,4,3,1,1,0,184,79,0,1,4,-0.1073537945747376,True,0.0
task_only,2202,42,10042,1000,19.358302541132844,0.0,0,10,True,0.3617187738418579,2,2,0,0,0,61,0,0,0,2,0.3905394792556762,True,0.0
task_only,2202,43,10043,1000,18.67284576293605,57.0,2,10,True,0.018645107746124268,3,1,1,1,1,76,79,50,2,2,-0.10625391006469731,True,0.0
task_only,2202,44,10044,1000,20.45369042522998,83.0,3,10,True,0.029557764530181885,4,1,3,3,0,78,237,0,3,4,-0.11364107131958012,True,0.0
task_only,2202,45,10045,1000,14.743975782928828,55.0,2,6,True,0.010427713394165039,5,3,2,2,0,162,158,0,2,5,-0.09736346006393437,True,0.0
task_only,2202,46,10046,1000,15.991622137380546,131.0,2,6,True,0.05456507205963135,5,3,1,2,0,194,158,0,2,5,-0.10632847547531132,True,0.0
task_only,2202,47,10047,1000,18.24821549151602,60.0,2,8,True,0.03612023591995239,7,5,1,1,1,300,79,6,2,6,-0.11658273935317998,True,0.0
task_only,2202,48,10048,1000,18.655016028112186,69.0,0,9,True,0.05626577138900757,5,5,0,0,0,240,0,0,0,5,0.14311016798019405,True,0.0
task_only,2202,49,10049,1000,16.821931701408175,148.0,3,7,True,0.05442774295806885,4,1,2,3,0,54,237,0,3,4,-0.08544157743453984,True,0.0
task_only,2202,50,10050,1000,18.304248638509307,98.0,2,8,True,0.003155529499053955,4,2,2,2,0,122,158,0,2,4,-0.07034431695938115,True,0.0
task_only,2202,51,10051,1000,16.61085187187382,176.0,3,8,True,0.017078876495361328,5,2,2,3,0,116,237,0,3,5,-0.10474060773849492,True,0.0
task_only,2202,52,10052,1000,16.720004370288734,90.0,2,9,True,0.011707842350006104,8,6,1,1,1,270,79,38,2,7,-0.05399732589721684,True,0.0
task_only,2202,53,10053,1000,18.912108142736543,33.0,2,10,True,0.04963749647140503,3,1,2,2,0,76,158,0,2,3,-0.11470465660095219,True,0.0
task_only,2202,54,10054,1000,18.091622026044206,78.0,3,9,True,0.03835040330886841,5,2,3,3,0,66,237,0,3,5,-0.10250525474548344,True,0.0
task_only,2202,55,10055,1000,18.639556600974174,66.0,2,8,True,0.02629011869430542,6,4,2,2,0,165,158,0,2,5,-0.1061001300811768,True,0.0
task_only,2202,56,10056,1000,17.74300586350728,162.0,1,7,True,0.0055196285247802734,6,5,0,1,0,304,79,0,1,6,-0.07771306037902836,True,0.0
task_only,2202,57,10057,1000,20.201973332356147,88.0,1,11,True,0.015634596347808838,10,9,1,1,0,439,79,0,1,9,-0.10883526802062993,True,0.0
